"Category","Item","Status","Path","Timestamp"
"Configuration","package.json","Found","C:\Users\Seed Capital\dwellot\package.json","2025-10-06 14:14:05"
"Configuration","tsconfig.json","Found","C:\Users\Seed Capital\dwellot\tsconfig.json","2025-10-06 14:14:05"
"Configuration","next.config.js","Found","C:\Users\Seed Capital\dwellot\next.config.js","2025-10-06 14:14:05"
"Configuration","next.config.mjs","Missing","N/A","2025-10-06 14:14:05"
"Configuration","tailwind.config.ts","Missing","N/A","2025-10-06 14:14:05"
"Configuration","tailwind.config.js","Missing","N/A","2025-10-06 14:14:05"
"Configuration",".env.local","Found","C:\Users\Seed Capital\dwellot\.env.local","2025-10-06 14:14:05"
"Configuration",".gitignore","Found","C:\Users\Seed Capital\dwellot\.gitignore","2025-10-06 14:14:05"
"Structure","App Directory","Found","src/app","2025-10-06 14:14:09"
"Pages","/","Exists","C:\Users\Seed Capital\dwellot\src\app\page.tsx","2025-10-06 14:14:09"
"Pages","admin/users","Exists","C:\Users\Seed Capital\dwellot\src\app\admin\users\page.tsx","2025-10-06 14:14:09"
"Pages","agents","Exists","C:\Users\Seed Capital\dwellot\src\app\agents\page.tsx","2025-10-06 14:14:09"
"Pages","auth","Exists","C:\Users\Seed Capital\dwellot\src\app\auth\page.tsx","2025-10-06 14:14:09"
"Pages","dashboard","Exists","C:\Users\Seed Capital\dwellot\src\app\dashboard\page.tsx","2025-10-06 14:14:09"
"Pages","dashboard/properties","Exists","C:\Users\Seed Capital\dwellot\src\app\dashboard\properties\page.tsx","2025-10-06 14:14:09"
"Pages","properties","Exists","C:\Users\Seed Capital\dwellot\src\app\properties\page.tsx","2025-10-06 14:14:09"
"Pages","properties/[id]","Exists","C:\Users\Seed Capital\dwellot\src\app\properties\[id]\page.tsx","2025-10-06 14:14:09"
"Pages","test-connection","Exists","C:\Users\Seed Capital\dwellot\src\app\test-connection\page.tsx","2025-10-06 14:14:09"
"Layouts","layout.tsx","Exists","C:\Users\Seed Capital\dwellot\src\app\layout.tsx","2025-10-06 14:14:10"
"API Routes","route.ts","Exists","C:\Users\Seed Capital\dwellot\src\app\api\properties\route.ts","2025-10-06 14:14:10"
"API Routes","route.ts","Exists","C:\Users\Seed Capital\dwellot\src\app\api\properties\[id]\route.ts","2025-10-06 14:14:10"
"Library","auth-context.tsx","Found","C:\Users\Seed Capital\dwellot\src\lib\auth-context.tsx","2025-10-06 14:14:10"
"Library","database.ts","Found","C:\Users\Seed Capital\dwellot\src\lib\database.ts","2025-10-06 14:14:10"
"Library","properties.ts","Found","C:\Users\Seed Capital\dwellot\src\lib\properties.ts","2025-10-06 14:14:10"
"Library","supabase.ts","Found","C:\Users\Seed Capital\dwellot\src\lib\supabase.ts","2025-10-06 14:14:10"
"Library","user-roles.ts","Found","C:\Users\Seed Capital\dwellot\src\lib\user-roles.ts","2025-10-06 14:14:10"
"Components","Breadcrumb.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\Breadcrumb.tsx","2025-10-06 14:14:11"
"Components","Footer.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\Footer.tsx","2025-10-06 14:14:11"
"Components","Navbar.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\Navbar.tsx","2025-10-06 14:14:11"
"Components","ProctedRoute.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\ProctedRoute.tsx","2025-10-06 14:14:11"
"Components","SubNavigation.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\SubNavigation.tsx","2025-10-06 14:14:11"
"Components","UserManagement.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\admin\UserManagement.tsx","2025-10-06 14:14:11"
"Components","RoleBasedDashboard.tsx","Found","C:\Users\Seed Capital\dwellot\src\components\dashboard\RoleBasedDashboard.tsx","2025-10-06 14:14:11"
"Dependencies","@supabase/supabase-js","Installed","^2.58.0","2025-10-06 14:14:11"
"Dependencies","next","Installed","15.5.4","2025-10-06 14:14:11"
"Dependencies","react","Installed","19.1.0","2025-10-06 14:14:11"
"Dependencies","tailwindcss","Not Installed","N/A","2025-10-06 14:14:11"
"Dependencies","lucide-react","Installed","^0.544.0","2025-10-06 14:14:12"
"Dependencies","typescript","Not Installed","N/A","2025-10-06 14:14:12"
"Supabase","Client Configuration","Configured","lib/supabase.*","2025-10-06 14:14:12"
"Supabase","Environment Variables","Configured",".env.local","2025-10-06 14:14:12"
